文本,群体情绪,时间
财经要闻央行：延续实施碳减排支持工具等三项结构性货币政策工具；多部门：鼓励支持有条件有意愿的搬迁群众进城落户；上海：促进汽车、家电等大宗消费，延续实施新能源车置换补贴。今日看盘超话股市分析,0.0137313592248007,2023-01-30 09:21:13
扶贫搬迁受益方向发改委等多部门：鼓励支持有条件有意愿的搬迁群众进城落户。据悉，发改委联合财政部等个部门发布《关于推动大型易地扶贫搬迁安置区融入新型城镇化实现高质量发展的指导意见》。其中提出，鼓励支持有条件有意愿的搬迁群众进城落户。对吸纳搬迁人口落户多的地区给予财政支持。看法：这是扶贫搬迁计划，这是好事情，而且是根据有意愿搬迁的才搬迁，对乡村城镇化建设也是有利的。消息上对房地产也有利好影响。股票方面，房地产上周四周五港股房地产板块也有反弹行情活跃上涨，对节后股房地产板块和地产链也有利于反弹行情。如中交地产中国武夷万科新城控股高斯贝尔,0.0,------
鼓励支持有条件有意愿的搬迁群众进城落户财联社月日电，国家发展改革委联合财政部等个部门发布《关于推动大型易地扶贫搬迁安置区融入新型城镇化实现高质量发展的指导意见》。因地制宜制定具体落户办法，积极推广新市民居住证制度，推动城镇基本公共服务财联社新闻的微博视频,0.0092165834133502,2023-01-30 07:24:55
发改委等多部门：鼓励支持有条件有意愿的搬迁群众进城落户充分尊重搬迁人口落户城镇意愿那个，很多人说此举是“掏”老百姓口袋里的钱，其实我感觉吧，有政策支持，总比没政策支持好得多。恕我直言，现在农村人还真有很多想在城市里买房子的，回老家农村问问就知道，在地市小县城买房的可多。所以，政策支持有条件有意愿的搬迁群众进城落户，那也挺好的。怎么说呢？你没有政策，一样有很多人去买，能给老百姓优惠点、便利点，总比没有强。,0.9719343044789136,------
部门：鼓励支持有条件有意愿的搬迁群众进城落户。春节后首地，郑州部分银行首套房贷利率降至，已有多地突破利率下限。点评：有没有可能地产的逻辑已经走完了？剩下的就是一些改善群体。,0.0340299703968607,2023-01-29 23:32:06
发改委等多部门：鼓励支持有条件有意愿的搬迁群众进城落户国家发展改革委联合财政部等个部门发布《关于推动大型易地扶贫搬迁安置区融入新型城镇化实现高质量发展的指导意见》。其中提出，推进有序落户城镇。充分尊重搬迁人口落户城镇意愿，因地制宜制定具体落户办法，提高户籍登记和迁移便利度，鼓励支持有条件有意愿的搬迁群众进城落户。积极稳妥推广新市民居住证制度，推动城镇基本公共服务逐步覆盖未落户搬迁人口。依法保障已落户城镇的搬迁群众在迁出地农村的合法权益。,0.0112864475028672,------
十九部门：鼓励支持有条件有意愿的搬迁群众进城落户国家发展改革委等十九部门发布《关于推动大型易地扶贫搬迁安置区融入新型城镇化实现高质量发展的指导意见》。其中提出，推进有序落户城镇。充分尊重搬迁人口落户城镇意愿，因地制宜制定具体落户办法，提高户籍登记和迁移便利度，鼓励支持有条件有意愿的搬迁群众进城落户。积极稳妥推广新市民居住证制度，推动城镇基本公共服务逐步覆盖未落户搬迁人口。依法保障已落户城镇的搬迁群众在迁出地农村的合法权益。,-0.0044679374735923,2023-01-29 22:39:25
部委发文鼓励支持有条件有意愿的搬迁群众进城落户近日，国家发展改革委联合财政部、中国人民银行等个部门印发意见提出：充分尊重搬迁人口落户城镇意愿，因地制宜制定具体落户办法，提高户籍登记和迁移便利度，鼓励支持有条件有意愿的搬迁群众进城落户。详情见图,0.0035387885390495,2023-01-30 00:00:01
部门联合发布：鼓励支持搬迁群众进城落户，推广新市民居住证制度国家发展改革委月日发布《关于推动大型易地扶贫搬迁安置区融入新型城镇化实现高质量发展的指导意见》推进有序落户城镇。充分尊重搬迁人口落户城镇意愿，因地制宜制定具体落户办法，提高户籍登记和迁移便利度，鼓励支持有条件有意愿的搬迁群众进城落户。积极稳妥推广新市民居住证制度，推动城镇基本公共服务逐步覆盖未落户搬迁人口。派财经官微派财经官微的微博视频,0.0488140727324943,2023-01-29 22:31:00
米虫之超话鼓励支持有条件有意愿的搬迁群众进城落户,0.0102583313058651,2023-01-29 23:46:24
